id,startle_index,phase,EDAmean,EDAstd,EDAslope,EDArange,RESPrate,RESPamplitude,RESPstd,RESPrange,mae
12,3,post,1415.919891,25.025827,-0.008328,85.754395,7.976936,0.154724,0.035305,0.154724,1.446464
13,3,pre,1079.836853,11.416035,-0.003945,41.503906,7.678991,0.753479,0.197105,0.753479,0.842556
13,3,startle,1187.088593,62.133704,0.015635,194.396973,7.523815,0.935059,0.269698,0.935059,9.290733
13,3,post,1176.594818,16.895029,0.001627,60.119629,7.668528,0.977478,0.242661,0.977478,4.631997
15,3,pre,4102.588745,47.882490,-0.016437,174.865723,7.609217,0.330505,0.074919,0.330505,0.669606
15,3,startle,4667.911469,269.320048,0.007587,946.350098,7.537564,0.512695,0.133568,0.512695,3.321442
15,3,post,4409.320160,103.943599,-0.022405,387.268066,7.642582,0.270691,0.069397,0.270691,1.504195
16,3,pre,2282.172424,17.020175,-0.000196,63.171387,6.224126,1.827698,0.433755,1.827698,0.925767
16,3,startle,2582.544678,137.612099,0.028423,428.771973,6.181523,2.109680,0.609157,2.109680,8.023269
16,3,post,2360.379700,79.644564,-0.025676,301.818848,6.145614,2.018127,0.497600,2.018127,3.966093
18,3,pre,1117.538788,20.599532,-0.007030,69.885254,8.021959,0.209045,0.056203,0.209045,0.989180
18,3,startle,1290.976593,111.399730,0.025134,382.385254,8.014435,0.224609,0.056482,0.224609,5.061045
18,3,post,1196.132477,33.440696,-0.011524,110.168457,8.028397,0.182190,0.051146,0.182190,2.013261
19,3,pre,2978.545441,40.696429,-0.001840,155.639648,7.232142,0.799255,0.212638,0.799255,1.119404
19,3,startle,2978.489258,52.476465,0.009866,202.941895,7.354524,0.862122,0.270334,0.862122,3.506907
19,3,post,2961.920837,37.160182,-0.009429,154.724121,7.258463,0.732422,0.218081,0.732422,1.160813
20,3,pre,3663.946930,71.008771,-0.024466,243.530273,5.868447,2.213745,0.612543,2.213745,0.582258
20,3,startle,4036.256073,151.171087,0.022776,650.329590,5.824056,2.063904,0.619013,2.063904,2.784002
20,3,post,3838.619934,159.518104,-0.050988,516.052246,5.882780,2.370911,0.572628,2.370911,1.503049
